,X,Y,UnemrT01,PrSect01,Foreig01,Income01
0,616259.007833,4551127.24113,5.221281,21.817852,1.99678,10969.315256
1,644783.135624,4561364.03553,2.15424,92.912436,0.038337,6398.641486
2,602100.950461,4555689.13769,6.06239,70.206767,1.339977,6608.897469
3,633712.468442,4539548.48979,7.421934,57.748085,0.890172,6700.375345
4,517831.195188,4572544.47842,10.851115,7.298838,2.961633,11299.106498
5,520765.018259,4546140.72643,12.1437,28.412363,2.552864,8113.734335
6,493796.614125,4579728.78303,10.526316,49.159664,2.688983,7540.976656
7,539592.21924,4576418.24836,6.967742,42.787795,2.463825,8254.78138
8,494941.050926,4558948.89771,9.922417,37.692656,1.326379,7677.032664
9,666407.978238,4532034.45647,4.028502,13.235721,1.663541,12802.25257
10,699654.547177,4586081.77937,3.746435,37.69697,0.598828,8636.939034
11,695504.868426,4606754.21857,3.685218,38.823028,0.739066,9259.577454
12,634234.566139,4479074.07584,2.719665,44.731183,1.991885,8854.808951
13,680650.448768,4561751.04525,5.143796,44.698545,0.695308,8843.261472
14,555039.364562,4503748.79222,13.36772,22.823121,8.088618,8780.451519
15,533790.298878,4539849.78092,7.838207,5.374961,4.665301,12089.546953
16,553463.068023,4542221.51782,3.719812,37.303852,4.091277,8888.786526
17,511000.60911,4521960.73372,4.639262,38.083927,6.225509,8481.42276
18,564081.51558,4561913.78082,9.030693,6.445493,2.284376,11165.632108
19,583278.602399,4543942.09569,9.019054,40.009308,1.664659,10893.762596
20,580377.62228,4570927.15125,6.188313,62.992652,0.062147,6619.932397
21,567936.813466,4540439.21465,5.673624,58.076846,1.317189,6502.769207
22,411331.93992,4497210.23721,6.336333,0.834415,7.200951,13388.724605
23,406156.749353,4500931.09846,8.424908,1.159091,5.934958,10295.348873
24,456817.673558,4504633.38032,3.714694,34.664993,8.65707,8698.950125
25,393727.7869,4497183.37632,6.984719,20.658431,7.347162,10747.375964
26,408649.05367,4476297.1271,6.422553,12.182284,9.349243,12023.819373
27,421910.04814,4482180.69372,4.653253,12.871646,6.90266,13924.64678
28,411591.3485,4492223.7657,5.61862,1.480707,2.722651,14271.725498
29,407183.899741,4503105.53871,8.085858,1.218122,4.815093,11223.754399
30,432839.376114,4513918.0261,5.003381,25.957295,4.382022,8828.002975
31,413237.766371,4500333.97217,7.19091,0.847579,6.62604,11302.215662
32,411409.95847,4503704.98513,8.363331,1.154857,4.978021,10877.619318
33,419991.708644,4496150.02729,5.505411,1.590318,4.493009,16570.163224
34,386412.035771,4510880.1049,5.720858,25.421061,6.040992,9257.263138
35,407624.921427,4512600.7091,5.573834,9.59213,6.001122,14228.969009
36,346322.682525,4482415.22934,6.182881,20.292905,3.314757,9969.430572
37,369805.591669,4494577.00607,5.586524,43.03042,3.628457,9367.845149
38,335198.010554,4499546.9212,8.377709,30.067125,2.637279,9065.74985
39,407483.378485,4543639.28233,9.631886,20.39555,4.023818,9872.956088
